Title: 挤出成型，即挤出成型材料通过模子或喷嘴，模子或喷嘴给出要求的形状；所用的 设备（挤出吹塑法入B29C49/04）

Code: B29C48/00

========================================

B29C48/02 小型挤出设备，如手持式、玩具 或实验室挤出机

B29C48/025 设备的总体布置或布局

B29C48/03 在挤出中以受挤压材料的形状为特征的

B29C48/04 颗粒型（制作颗粒入B29B9/00）

B29C48/05 丝状的，如线或纤维

B29C48/06 棒状的

B29C48/07 平的，如板

B29C48/08 柔性的，如薄膜

B29C48/09 横截面带有部分或完全的封闭腔的制品，如管或通道

B29C48/10 柔性的，如吹制箔

B29C48/11 由两个或以上部分或完全封闭腔组成的，如蜂窝状的

B29C48/12 在横截面上看有不规则周长的制品，如窗口的剖面

B29C48/13 在纵向上横截面变化的制品，如波纹管

B29C48/14 以在特殊的挤出条件下为特征的，如在改进的气体环境下或使用振动

B29C48/15 包含有预成型件或层，如在插入件周围挤出成型

B29C48/151 涂覆中空制品

B29C48/152 其内表面

B29C48/153 内外表面都涂覆

B29C48/154 涂覆实心制品即非中空制品

B29C48/155 部分涂覆

B29C48/156 同时涂覆两个或以上制品

B29C48/157 涂覆连接的镶嵌件，如链条

B29C48/16 由两个或以上元件组成的制品，如共挤层

B29C48/17 元件有不同的颜色

B29C48/18 元件是层的

B29C48/19 通过边缘连接的层

B29C48/20 其中的一个层是带，如一个部分嵌入的带

B29C48/21 通过表面连接的层

B29C48/22 连接各层所用的方式，如连接层或凹形结构

B29C48/23 防止各层结合的方式，如形成可撕离层的

B29C48/25 零件、部件或附件；辅助操作

B29C48/255 流量控制装置，如阀门（流量分配器入 B29C 48/695）

B29C48/265 支撑结构或机座，如构架

B29C48/27 清洁；清除；防止污染物

B29C48/275 能量或材料的回收或再利用

B29C48/28 挤出材料的储存，如卷绕或堆叠

B29C48/285 向挤出机供料

B29C48/29 以液态形式

B29C48/295 以气态形式•••

B29C48/30 挤出喷嘴或模具（以挤出制品的形状或横截面为特征的挤出入B29C 48/03）

B29C48/305 有宽口的，如制造板材的

B29C48/31 可调节的

B29C48/315 有彼此相对摆动的部分

B29C48/32 有环形开口的，如制造管状制品的

B29C48/325 可调节的

B29C48/33 具有彼此可相对转动的部分

B29C48/335 同轴排列的多个环形挤出喷嘴，如制作多层管式制品的

B29C48/34 直角头式环形挤出喷嘴，即同时接收成型材料和被涂覆的预成型件的

B29C48/345 由两个或多个相邻排列的同时挤出多股的喷口组成的喷嘴，如颗粒挤出的

B29C48/35 用滚子

B29C48/355 挤出制品输送装置

B29C48/36 使成型材料塑化或均匀化的装置或迫使材料通过喷嘴或模具装置

B29C48/365 使用泵，如活塞泵

B29C48/37 齿轮泵

B29C48/375 由两个或以上步骤组成的塑化器，均化器或进给器

B29C48/38 在同一螺筒内使用两个或以上连续排列的螺杆

B29C48/385 在不同螺筒内使用两个或以上连续排列的螺杆

B29C48/39 一个将熔融物送入到一个第二挤出机的中间部位的第一挤出机

B29C48/395 使用被与其配合的一个螺筒所包围的螺杆，如单螺杆挤出机

