Title: 活性染料，即与基质形成共价键或自身聚合的染料

Code: C09B62/00

========================================

C09B62/002 与交替给定的活性基团的连接

C09B62/004 蒽染料

C09B62/006 偶氮染料

C09B62/008 单偶氮染料

C09B62/01 双偶氮或多偶氮染料

C09B62/012 金属配合偶氮染料

C09B62/014 硝基染料

C09B62/016 卟吩；吖卟吩

C09B62/018 甲染料

C09B62/02 带有直接连接到杂环上的活性基团

C09B62/022 交替地给定的杂环

C09B62/024 蒽染料

C09B62/026 偶氮染料

C09B62/028 单偶氮染料

C09B62/03 双偶氮或多偶氮染料

C09B62/032 金属配合偶氮染料

C09B62/034 硝基染料

C09B62/036 卟吩；吖卟吩

C09B62/038 甲染料

C09B62/04 连接到1个三嗪环上

C09B62/06 蒽染料

C09B62/08 偶氮染料

C09B62/085 单偶氮染料

C09B62/09 双偶氮或多氮染料

C09B62/095 金属配合偶氮染料

C09B62/10 卟吩；吖卟吩

C09B62/12 连接到1个哒嗪环上

C09B62/14 蒽染料

C09B62/16 偶氮染料

C09B62/165 单偶氮染料

C09B62/17 双偶氮或多偶氮染料

C09B62/175 金属配合偶氮染料

C09B62/18 卟吩；吖卟吩

C09B62/20 连接到1个嘧啶环上

C09B62/22 蒽染料

C09B62/24 偶氮染料

C09B62/245 单偶氮染料

C09B62/25 双偶氮或多偶氮染料

C09B62/255 金属配合偶氮染料

C09B62/26 卟吩；吖卟吩

C09B62/28 连接到1个吡嗪环上

C09B62/30 蒽染料

C09B62/32 偶氮染料

C09B62/325 单偶氮染料

C09B62/33 双偶氮或多偶氮染料

C09B62/335 金属配合偶氮染料

C09B62/34 卟吩；吖卟吩

C09B62/343 连接到1个五元环上

C09B62/345 蒽染料

C09B62/347 偶氮染料

C09B62/35 单偶氮染料

C09B62/353 双偶氮或多偶氮染料

C09B62/355 金属配合偶氮染料

C09B62/357 卟吩；吖卟吩

C09B62/36 连接到其他某个杂环上

C09B62/38 蒽染料

C09B62/40 偶氮染料

C09B62/405 单偶氮染料

C09B62/41 双偶氮或多偶氮染料

C09B62/415 金属配合偶氮染料

C09B62/42 卟吩；吖卟吩

C09B62/44 带有不直接连接到杂环上的活性基团

C09B62/443 交替地给定的活性基团

C09B62/445 蒽染料

C09B62/447 偶氮染料

C09B62/45 单偶氮染料

C09B62/453 双偶氮或多偶氮染料

C09B62/455 金属配合偶氮染料

C09B62/457 卟吩；吖卟吩

C09B62/463 甲染料

C09B62/465 活性基团是1个丙烯酰基，1个季铵化的或非季铵化的氨基烷基羰基或1个（-N）n-CO-A- O-X或（-N）n-CO-A-Hal基团，其中A是烷撑或烷叉基，X是氢或有机或无机酸的酰基， Hal是卤原子，n＝0或1

C09B62/467 蒽染料

C09B62/47 偶氮染料

C09B62/473 单偶氮染料

C09B62/475 双偶氮或多偶氮染料

C09B62/477 金属配合偶氮染料

C09B62/483 卟吩；吖卟吩

